date,supply,daily_increase
2022-08-31,19137466.424418606,226.7441860474646
2022-09-01,19137693.16860465,226.74418604373932
2022-09-01,19137918.75,225.58139535039663
2022-09-01,19138143.75,225.0
2022-09-01,19138368.75,225.0
2022-09-02,19138593.75,225.0
2022-09-02,19138818.75,225.0
2022-09-02,19139043.75,225.0
2022-09-03,19139268.75,225.0
2022-09-03,19139493.75,225.0
2022-09-03,19139718.75,225.0
2022-09-03,19139943.75,225.0
2022-09-04,19140168.75,225.0
2022-09-04,19140393.75,225.0
2022-09-04,19140618.75,225.0
2022-09-04,19140843.75,225.0
2022-09-04,19141068.75,225.0
2022-09-05,19141293.75,225.0
2022-09-05,19141518.75,225.0
2022-09-05,19141743.75,225.0
2022-09-05,19141968.75,225.0
2022-09-06,19142193.75,225.0
2022-09-06,19142418.75,225.0
2022-09-06,19142643.75,225.0
2022-09-06,19142868.75,225.0
2022-09-07,19143093.75,225.0
2022-09-07,19143318.75,225.0
2022-09-07,19143543.75,225.0
2022-09-07,19143768.75,225.0
2022-09-08,19143993.75,225.0
2022-09-08,19144218.75,225.0
2022-09-08,19144443.75,225.0
2022-09-08,19144668.75,225.0
2022-09-09,19144893.75,225.0
2022-09-09,19145118.75,225.0
2022-09-09,19145343.75,225.0
2022-09-09,19145568.75,225.0
2022-09-10,19145793.75,225.0
2022-09-10,19146018.75,225.0
2022-09-10,19146243.75,225.0
2022-09-10,19146468.75,225.0
2022-09-11,19146693.75,225.0
2022-09-11,19146918.75,225.0
2022-09-11,19147143.75,225.0
2022-09-11,19147368.75,225.0
2022-09-11,19147593.75,225.0
2022-09-12,19147819.137596898,225.3875968977809
2022-09-12,19148045.881782945,226.7441860474646
2022-09-12,19148272.625968993,226.7441860474646
2022-09-12,19148499.37015504,226.7441860474646
2022-09-12,19148725.0,225.62984495982528
2022-09-13,19148950.0,225.0
2022-09-13,19149175.0,225.0
2022-09-13,19149400.0,225.0
2022-09-14,19149625.0,225.0
2022-09-14,19149850.0,225.0
2022-09-14,19150075.0,225.0
2022-09-14,19150300.0,225.0
2022-09-15,19150525.0,225.0
2022-09-15,19150750.0,225.0
2022-09-15,19150975.0,225.0
2022-09-15,19151200.0,225.0
2022-09-16,19151425.0,225.0
2022-09-16,19151650.0,225.0
2022-09-16,19151875.0,225.0
2022-09-16,19152100.0,225.0
2022-09-17,19152325.0,225.0
2022-09-17,19152550.0,225.0
2022-09-17,19152776.501937985,226.50193798542023
2022-09-17,19153003.24612403,226.74418604373932
2022-09-18,19153230.959302325,227.71317829564214
2022-09-18,19153459.932170544,228.97286821901798
2022-09-18,19153688.420542635,228.48837209120393
2022-09-18,19153916.90891473,228.48837209492922
2022-09-18,19154143.701550387,226.79263565689325
2022-09-19,19154368.75,225.04844961315393
2022-09-19,19154594.18604651,225.43604651093483
2022-09-19,19154820.93023256,226.7441860474646
2022-09-20,19155047.674418606,226.7441860474646
2022-09-20,19155274.41860465,226.74418604373932
2022-09-20,19155500.0,225.58139535039663
2022-09-20,19155725.0,225.0
2022-09-21,19155950.0,225.0
2022-09-21,19156175.0,225.0
2022-09-21,19156400.0,225.0
2022-09-21,19156625.0,225.0
2022-09-22,19156850.0,225.0
2022-09-22,19157075.0,225.0
2022-09-22,19157300.0,225.0
2022-09-22,19157525.0,225.0
2022-09-23,19157750.0,225.0
2022-09-23,19157975.0,225.0
2022-09-23,19158200.0,225.0
2022-09-23,19158425.0,225.0
2022-09-24,19158650.0,225.0
2022-09-24,19158875.0,225.0
2022-09-24,19159100.0,225.0
2022-09-24,19159325.0,225.0
2022-09-25,19159550.0,225.0
2022-09-25,19159775.387596898,225.3875968977809
2022-09-25,19160002.61627907,227.22868217155337
2022-09-25,19160231.104651164,228.48837209492922
2022-09-26,19160459.593023255,228.48837209120393
2022-09-26,19160690.019379847,230.42635659128428
2022-09-26,19160919.040697675,229.02131782844663
2022-09-26,19161147.529069766,228.48837209120393
2022-09-27,19161375.0,227.47093023359776
2022-09-27,19161601.64728682,226.64728682115674
2022-09-27,19161828.39147287,226.7441860474646
2022-09-28,19162055.135658916,226.7441860474646
2022-09-28,19162281.25,226.11434108391404
2022-09-28,19162506.25,225.0
2022-09-28,19162731.25,225.0
2022-09-29,19162956.25,225.0
2022-09-29,19163181.25,225.0
2022-09-29,19163406.25,225.0
2022-09-29,19163631.25,225.0
2022-09-30,19163856.25,225.0
2022-09-30,19164081.25,225.0
2022-09-30,19164306.25,225.0
2022-09-30,19164531.25,225.0
2022-09-30,19164756.25,225.0
2022-10-01,19164981.83139535,225.58139535039663
2022-10-01,19165209.835271318,228.00387596711516
2022-10-01,19165438.323643412,228.48837209492922
2022-10-01,19165666.812015504,228.48837209120393
2022-10-01,19165893.75,226.93798449635506
2022-10-02,19166118.75,225.0
2022-10-02,19166343.75,225.0
2022-10-02,19166568.75,225.0
2022-10-02,19166793.75,225.0
2022-10-03,19167018.75,225.0
